tank_1,tank_2,tank_3,tank_4,kan_u1,kan_u2
12.599546540157176,13.001666328877329,4.800779730261965,4.899480235157054,0.0,12.0
12.599090512437412,13.003331892720569,4.801563028076388,4.898955207307526,0.0,12.0
12.598632898139819,13.005001070169982,4.802350678718454,4.8984298379002755,0.0,12.0
12.598169027807451,13.0066647503674,4.80314157939367,4.897906470452352,0.0,12.0
12.597706150350394,13.00834004627908,4.803923159239233,4.897379104259668,0.0,12.0
12.597248748320414,13.01000688770918,4.8047110719686446,4.896856943056659,0.0,12.0
12.596786902351615,13.011679598777508,4.8054963606562975,4.896330397401252,0.0,12.0
12.596329585394646,13.013350061929774,4.806273209197641,4.895806405258713,0.0,12.0
12.595876674434228,13.015016199286245,4.807055791666968,4.8952849335001405,0.0,12.0
12.595413902956743,13.016690667532599,4.807838488357619,4.8947643395327685,0.0,12.0
12.5949595389408,13.018358792753485,4.808627369228841,4.894236088945892,0.0,12.0
12.594506588141266,13.02002431340691,4.809410712068941,4.893709729307766,0.0,12.0
12.59405433222713,13.021693498395699,4.810192488596452,4.893183653197257,0.0,12.0
12.59359557455613,13.023362609177319,4.810979674210446,4.892661681255934,0.0,12.0
12.593143415777448,13.025031253789955,4.811759881470573,4.8921391286156775,0.0,12.0
12.592689147343847,13.02669738868701,4.812541101578845,4.89161067476974,0.0,12.0
12.59223018339111,13.028361573259813,4.8133212092516775,4.891087374065735,0.0,12.0
12.591776968650818,13.030030603066129,4.814107630965143,4.890559830554034,0.0,12.0
12.591322685596927,13.031699022910503,4.814893540547341,4.890036464705394,0.0,12.0
12.590864104969707,13.033363870327028,4.815679759579518,4.889508184355649,0.0,12.0
12.590405782444796,13.03502898616866,4.8164653506438615,4.888982212881487,0.0,12.0
12.589949997090839,13.036693047753344,4.817253697920207,4.888455357531281,0.0,12.0
12.589493125716526,13.038357029099275,4.818035131415719,4.88793771441514,0.0,12.0
12.589035247078058,13.040027718608544,4.818821966261285,4.887413633120262,0.0,12.0
12.588572871498842,13.041690489676693,4.8196053258269895,4.886891340340423,0.0,12.0
12.58811932351784,13.043358850312796,4.820386767738897,4.886363157344312,0.0,12.0
12.58766298060162,13.045024443028055,4.82117103508893,4.885845699652651,0.0,12.0
12.587203909921648,13.046691491632526,4.821951204106424,4.88532534328225,0.0,12.0
12.586750329800392,13.04836163633335,4.822732955851818,4.884796980016728,0.0,12.0
12.58629642739873,13.050027652086815,4.8235147720804825,4.884273974634815,0.0,12.0
12.585845560775166,13.051688206644634,4.824293310408033,4.883751317384527,0.0,12.0
12.585390239750575,13.053355396100514,4.825074397750979,4.883227189675262,0.0,12.0
12.584933847441096,13.055021939299174,4.825856910334838,4.882706906546456,0.0,12.0
12.5844806531908,13.056689511652829,4.82663780608577,4.882186353600234,0.0,12.0
12.58402907107956,13.058352786674659,4.827421099416183,4.881662015891268,0.0,12.0
12.583576669936447,13.060019290231997,4.828200419215387,4.881141924489266,0.0,12.0
12.58312391108942,13.06168126928805,4.828984580771018,4.880614555316693,0.0,12.0
12.5826682935329,13.063348287480183,4.829769370694728,4.8800917053632675,0.0,12.0
12.582211226080629,13.065016578673433,4.830553899365641,4.879562415661881,0.0,12.0
12.581754568168883,13.066678628576998,4.831332595459498,4.879039833490081,0.0,12.0
12.58130123304431,13.068344828282047,4.832115105061498,4.878515701800156,0.0,12.0
12.58084383272333,13.070012157246383,4.832895389268854,4.87799361672258,0.0,12.0
12.580385606414604,13.071675420986917,4.833672684827932,4.87746190452757,0.0,12.0
12.579930423063072,13.073341265658849,4.834446719646898,4.8769400633656605,0.0,12.0
12.579472077847708,13.075008904973174,4.835227730435587,4.876415551417992,0.0,12.0
12.579021288621874,13.07667566446697,4.83600919638306,4.875892100181863,0.0,12.0
12.578566365730383,13.078346690515207,4.836785493701952,4.875367690730963,0.0,12.0
12.57811576085017,13.080010114053925,4.837569988539398,4.874842254282339,0.0,12.0
12.57765759684437,13.081676475930799,4.838354398753719,4.8743153117050255,0.0,12.0
12.577204017134585,13.083329609184874,4.839130218520219,4.873790434464384,0.0,11.946360384113461
12.576748775477512,13.084891342405166,4.839831378752641,4.873271367749684,0.0,11.388316667534625
12.576294309045688,13.086526854389973,4.840588422093036,4.872746842806131,0.0,11.815588568791355
12.57583762065406,13.088175923541735,4.841357756087025,4.872221700727657,0.0,11.885814696302631
12.575382680030987,13.089761156382435,4.842079763968398,4.871705870405335,0.0,11.530442483289562
12.57493253917105,13.09137349203877,4.842824874563435,4.871184135973702,0.0,11.695220068113471
12.574479660822522,13.092959077482591,4.843544292385207,4.870655868044121,0.0,11.531522328912573
12.574029726673707,13.094572299444726,4.8442881724520594,4.8701336227798375,0.0,11.692161182082685
12.573576131964488,13.096170748041173,4.845019454403656,4.869611459216226,0.0,11.62525333915437
12.57312514125617,13.09776517781083,4.845748991055783,4.869084000825557,0.0,11.571132540382507
12.572669900929721,13.099282737586927,4.846418467874762,4.868558718657351,0.0,11.103154310062948
12.572214067344605,13.100761852133651,4.84705861341963,4.868037357891563,0.0,10.899004471969619
12.571759031692086,13.1022621497051,4.847712652283544,4.8675169698714456,0.0,11.005588840435024
12.57130760479107,13.103652078626192,4.84829499238302,4.866994482172479,0.0,10.397585865680995
