h1,h2,h3,h4,u1,u2,t_exec
12.599542160696085,12.999670525789549,4.79926176999602,4.899476045380625,0.0,0.0,0.0
12.599084286351525,12.999341034380034,4.798523596763342,4.898952118775106,0.0,0.0,0.0
12.598626376968376,12.999011525772156,4.797785480301966,4.898428220183442,0.0,0.0,0.0
12.598168432548697,12.998681999966617,4.797047420611892,4.897904349605634,0.0,0.0,0.0
12.599446424523116,12.999038368992604,4.7978311048823645,4.8993940320416804,12.0,6.540671348571777,1.162500023841858
12.600724416117831,12.999383505425532,4.7985896587411645,4.900883634821237,12.0,6.432912349700928,1.0083333253860474
12.60200240539823,12.999717718150709,4.799323768602135,4.902373157960671,12.0,6.328095436096191,1.0145833492279053
12.603280390483038,13.000041304092024,4.800034094312129,4.903862601476342,12.0,6.226106643676758,1.0125000476837158
12.604558369542245,13.000354549212451,4.800721271371805,4.905351965384599,12.0,6.1268415451049805,1.0125000476837158
12.605836340795198,13.000657728964459,4.801385911935957,4.906841249701786,12.0,6.030200004577637,1.0145833492279053
12.60711430250878,13.00095110894042,4.8020286062575,4.908330454444237,12.0,5.9360880851745605,1.0145833492279053
12.608392252995696,13.001234945322988,4.802649923687613,4.9098195796282775,12.0,5.84441614151001,1.0125000476837158
12.609670190612839,13.001509485335454,4.803250413675789,4.911308625270225,12.0,5.755098819732666,1.0145833492279053
12.61094811375974,13.00177496769209,4.803830606769816,4.912797591386389,12.0,5.668055057525635,1.0145833492279053
12.612226020877085,13.002031622898455,4.80439101528287,4.914286477993071,12.0,5.583206653594971,1.0166666507720947
12.613503910445296,13.002279673701723,4.804932134293358,4.915775285106562,12.0,5.500479698181152,1.0166666507720947
12.614781780983186,13.002519335390962,4.80545444231188,4.917264012743149,12.0,5.419803142547607,1.0187499523162842
12.616059631046664,13.00275081614742,4.805958402059074,4.918752660919107,12.0,5.341109275817871,1.0208333730697632
12.617337459227501,13.00297431734479,4.8064444611324655,4.920241229650702,12.0,5.264333248138428,1.0166666507720947
12.618615264152156,13.003190033749455,4.8069130524513835,4.921729718954196,12.0,5.1894121170043945,1.0145833492279053
12.619893044480628,13.00339815397075,4.8073645952565345,4.923218128845839,12.0,5.1162872314453125,1.0125000476837158
12.621170798905391,13.003598860511179,4.807799495222001,4.924706459341875,12.0,5.044900417327881,1.0104166269302368
12.622448526150333,13.003792330216653,4.808218145454726,4.926194710458539,12.0,4.975197792053223,1.0125000476837158
12.62372622496978,13.003978734326688,4.808620926606421,4.927682882212057,12.0,4.907125949859619,1.0083333253860474
12.625003894147525,13.00415823877462,4.809008207540159,4.929170974618648,12.0,4.840634346008301,1.0083333253860474
12.626281532495915,13.004331004437805,4.809380345885964,4.930658987694523,12.0,4.775674819946289,1.0083333253860474
12.627559138854963,13.004497187287802,4.809737688374502,4.932146921455883,12.0,4.71220064163208,1.0083333253860474
12.628836712091514,13.004656938640558,4.810080571392602,4.933634775918921,12.0,4.650167465209961,1.0104166269302368
12.63011425109843,13.004810405156567,4.810409320984061,4.935122551099824,12.0,4.589530944824219,1.0104166269302368
12.63139175479379,13.004957729291066,4.810724253848875,4.9366102470147695,12.0,4.5302510261535645,1.0125000476837158
12.632669222120164,13.00509904924417,4.8110256772330295,4.938097863679927,12.0,4.472287178039551,1.0125000476837158
12.63394665204387,13.005234499161032,4.8113138893729746,4.939585401111456,12.0,4.415600776672363,1.0125000476837158
12.635224043554283,13.005364209382005,4.8115891800510076,4.941072859325511,12.0,4.3601555824279785,1.0145833492279053
12.636501395663174,13.005488306442764,4.811851830595929,4.942560238338237,12.0,4.305915355682373,1.0145833492279053
12.63777870740405,13.00560691332446,4.812102114438379,4.944047538165771,12.0,4.2528462409973145,1.0187499523162842
12.639055977831546,13.00572014950384,4.812340297222388,4.945534758824239,12.0,4.2009148597717285,1.0208333730697632
12.640333206020815,13.00582813115339,4.812566637249722,4.947021900329764,12.0,4.150089740753174,1.0166666507720947
12.641610391066957,13.005930971241442,4.812781385702326,4.948508962698457,12.0,4.100340366363525,1.0166666507720947
12.64288753208447,13.006028779532292,4.812984786642879,4.949995945946423,12.0,4.051636219024658,1.0125000476837158
12.644164628206697,13.00612166288633,4.813177077680956,4.951482850089757,12.0,4.0039496421813965,1.0145833492279053
12.645441678585323,13.00620972523513,4.813358489918069,4.952969675144548,12.0,3.9572527408599854,1.0125000476837158
12.646718682389869,13.00629306768157,4.813529248170034,4.954456421126875,12.0,3.9115185737609863,1.0104166269302368
12.647995638807206,13.006371788674928,4.8136895713557415,4.95594308805281,12.0,3.8667218685150146,1.0104166269302368
12.649272547041098,13.006445984035981,4.81383967255308,4.957429675938417,12.0,3.8228375911712646,1.0104166269302368
12.650549406311747,13.006515747082103,4.813979759276726,4.958916184799751,12.0,3.779841899871826,1.0125000476837158
12.651826215855362,13.00658116867735,4.814110033589514,4.9604026146528595,12.0,3.7377114295959473,1.0125000476837158
12.653102974923737,13.006642337332556,4.814230692324729,4.961888965513782,12.0,3.6964237689971924,1.0145833492279053
12.654379682783844,13.006699339305417,4.8143419273083845,4.96337523739855,12.0,3.6559574604034424,1.0145833492279053
12.65565633871745,13.006752258625568,4.814443925415077,4.964861430323187,12.0,3.6162912845611572,1.0125000476837158
12.656932942020722,13.00680117721967,4.81453686884571,4.966347544303708,12.0,3.5774052143096924,1.0125000476837158
12.65820949200388,13.006846174936483,4.814620935183325,4.96783357935612,12.0,3.5392794609069824,1.0125000476837158
12.659485987990825,13.006887329621943,4.814696297559861,4.969319535496423,12.0,3.501894950866699,1.0125000476837158
