h1,h2,h3,h4,u1,u2,t_exec
12.399265532982364,12.699436541426675,1.7995479282943594,1.3997199344754403,0.0,0.0,0.0
12.398531044332627,12.69887307355129,1.7990959133614022,1.3994398969653883,0.0,0.0,0.0
12.397796534052864,12.69830959637457,1.7986439552011289,1.3991598874698439,0.0,0.0,0.0
12.40006002346168,12.700008199313322,1.7999155505115108,1.4000041639825054,12.00408935546875,12.004454612731934,57754.40234375
12.402323324674644,12.701706322804881,1.8011865994455853,1.400848266181683,12.003129959106445,12.001761436462402,24440.369140625
12.404586134382303,12.703404229379439,1.8024573021690293,1.4016920804090156,12.000956535339355,12.00046157836914,24428.6484375
12.406848814790326,12.705102082707745,1.803727783516057,1.4025357425707283,12.00023365020752,12.000030517578125,24434.240234375
12.409111462531937,12.706799926603502,1.804998076979221,1.4033792889703365,11.999897956848145,11.999832153320312,24426.998046875
12.411374133749396,12.708497623197827,1.8062680776202777,1.4042227407237062,11.999787330627441,11.998902320861816,24423.62109375
12.413636835265908,12.710195258544733,1.8075378511168518,1.405066100455827,11.999704360961914,11.998429298400879,24425.201171875
12.415899444342672,12.711892963802372,1.8088074975052566,1.4059093222026418,11.999130249023438,11.998652458190918,24439.658203125
12.418162087872183,12.713590724556504,1.8100770059036742,1.4067524536094536,11.999064445495605,11.998799324035645,24433.5859375
12.420424791036648,12.715288533766183,1.8113463710453088,1.4075955041781778,11.999099731445312,11.998908996582031,24439.68359375
12.422687552578488,12.716986387446712,1.8126155899915946,1.4084384734955022,11.999130249023438,11.998997688293457,24436.5234375
12.424950371478072,12.718684282332347,1.8138846603519365,1.409281361237443,11.999156951904297,11.999069213867188,24435.685546875
12.427213247191956,12.720382216235697,1.8151535805574839,1.4101241672586546,11.999181747436523,11.999129295349121,24432.54296875
12.4294761791766,12.722080187328874,1.816422349313345,1.4109668914137754,11.999204635620117,11.99917984008789,24442.19140625
12.431739166650226,12.723778194143481,1.8176909655985525,1.4118095334681113,11.999224662780762,11.999222755432129,24434.21875
12.434002209307401,12.725476235750302,1.8189594288029505,1.4126520933655966,11.99924373626709,11.999260902404785,24435.693359375
12.436265306842705,12.727174311040464,1.8202277381794605,1.4134945710501416,11.999261856079102,11.999293327331543,24429.455078125
