h1,h2,h3,h4,u1,u2
12.375517766078774,12.681218047555856,1.7849309431453129,1.3906644825146781,0.0,0.0
12.35101138659398,12.66242571644593,1.7699250956595791,1.381360142765173,0.0,0.0
12.326480938227398,12.643623033409565,1.7549824581035898,1.3720869809265248,0.0,0.0
12.401826497763395,12.700185025215184,1.797531602471477,1.4003074971749554,12.0,12.0
12.47723101514799,12.756778893125436,1.839901452929697,1.4284334545154753,12.0,12.0
12.552691909581396,12.81340348112735,1.8820948615334097,1.4564661131816639,12.0,12.0
12.628206711548598,12.870057674953246,1.924114570688522,1.4844066922430497,12.0,12.0
12.703773055808071,12.92674039984594,1.9659632199730435,1.5122563717900253,12.0,12.0
12.77938867497392,12.983450618485895,2.0076433523790027,1.5400162949598384,12.0,12.0
12.85505139362847,13.040187329065544,2.0491574200367104,1.5676875698182213,12.0,12.0
12.93075912291031,13.096949563497608,2.0905077894752764,1.5952712711096164,12.0,12.0
13.006509855529622,13.15373638574567,2.131696746466589,1.622768441887565,12.0,12.0
13.082301661168467,13.2105468902665,2.172726500494218,1.650180095035606,12.0,12.0
13.158132682228707,13.267380200554687,2.2135991888837743,1.6775072146879582,12.0,12.0
13.234001129894597,13.324235467781124,2.2543168806269898,1.7047507575583187,12.0,12.0
13.3099052804808,13.3811118695177,2.2948815799281137,1.7319116541842794,12.0,12.0
13.385843472039854,13.43800860854132,2.3352952294980205,1.7589908100941254,12.0,12.0
13.461814101205944,13.494924911711047,2.3755597136186357,1.7859891069021323,12.0,12.0
13.521089402602948,13.520742929091128,2.391968594467156,1.806635071718634,9.9908447265625,7.04603385925293
13.513050688993282,13.502336104043533,2.374597485062267,1.8019891143934432,1.9087940454483032,0.0
13.489070352278413,13.483935389019925,2.357289567393686,1.7913977853534746,0.0,0.0
13.465063474859436,13.465523264077122,2.3400448418825923,1.7808376278581208,0.0,0.0
13.441030129524203,13.447099754834026,2.3228633089532664,1.7703086420431846,0.0,0.0
13.416970389141811,13.428664886934012,2.3057449690331233,1.7598108280452756,0.0,0.0
13.392884326663147,13.410218686045033,2.288689822552749,1.7493441860018177,0.0,0.0
13.368772015121413,13.391761177859726,2.271697869945936,1.7389087160510566,0.0,0.0
13.344633527632677,13.373292388095518,2.2547691116497157,1.7285044183320668,0.0,0.0
13.320468937396406,13.35481234249473,2.2379035481044007,1.7181312929847592,0.0,0.0
13.296278317696014,13.336321066824686,2.221101179753617,1.7077893401498891,0.0,0.0
13.272061741899414,13.317818586877817,2.2043620070443435,1.6974785599690634,0.0,0.0
13.24781928345956,13.299304928471766,2.187686030426951,1.6871989525847484,0.0,0.0
13.223551015915007,13.280780117449506,2.171073250355239,1.6769505181402777,0.0,0.0
13.199257012890467,13.262244179679435,2.1545236672864765,1.6667332567798603,0.0,0.0
13.174937348097362,13.24369714105549,2.1380372816814415,1.6565471686485884,0.0,0.0
13.150592095334396,13.22513902749726,2.121614094004461,1.646392253892446,0.0,0.0
13.126221328488109,13.206569864950088,2.1052541047234543,1.6362685126583165,0.0,0.0
13.101825121533453,13.187989679385188,2.0889573143099716,1.6261759450939914,0.0,0.0
13.077403548534363,13.169398496799746,2.072723723239239,1.616114551348179,0.0,0.0
13.052956683644322,13.150796343217037,2.056553331990201,1.606084331570512,0.0,0.0
13.028484601106948,13.132183244686535,2.0404461410455643,1.5960852859115577,0.0,0.0
13.003987375256571,13.113559227284028,2.024402150891842,1.5861174145228256,0.0,0.0
12.979465080518812,13.094924317111722,2.0084213620193987,1.5761807175567764,0.0,0.0
12.954917791411173,13.07627854029836,1.9925037749224979,1.5662751951668312,0.0,0.0
12.930345582543628,13.057621922999328,1.976649390099347,1.556400847507381,0.0,0.0
12.90574852861921,13.038954491396778,1.960858208052145,1.546557674733795,0.0,0.0
12.88112670443461,13.020276271699734,1.945130229287132,1.5367456770024308,0.0,0.0
12.856480184880775,13.001587290144208,1.9294654543146366,1.5269648544706436,0.0,0.0
12.83180904494351,12.982887572993315,1.9138638836491266,1.5172152072967953,0.0,0.0
12.807113359704084,12.96417714653739,1.8983255178092595,1.507496735640265,0.0,0.0
12.782393204339837,12.945456037094099,1.8828503573179334,1.4978094396614585,0.0,0.0
12.75764865412479,12.926724271008558,1.8674384027023399,1.4881533195218177,0.0,0.0
12.732879784430263,12.907981874653451,1.8520896544940166,1.4785283753838314,0.0,0.0
12.708086670725494,12.889228874429145,1.8368041132289024,1.4689346074110456,0.0,0.0
12.683269388578257,12.870465296763808,1.8215817794473903,1.4593720157680734,0.0,0.0
12.658428013655488,12.851691168113522,1.8064226536943853,1.4498406006206055,0.0,0.0
12.633562621723915,12.83290651496241,1.7913267365193597,1.440340362135421,0.0,0.0
12.608673288650685,12.81411136382275,1.7762940284764117,1.4308713004803983,0.0,0.0
12.583760090404008,12.795305741235094,1.7613245301243237,1.4214334158245256,0.0,0.0
12.558823103053786,12.776489673768388,1.746418242026622,1.4120267083379126,0.0,0.0
12.533862402772261,12.757663188020096,1.731575164751638,1.4026511781918005,0.0,0.0
12.508878065834658,12.738826310616313,1.7167952988725688,1.3933068255585752,0.0,0.0
12.483870168619834,12.719979068211893,1.7020786449675416,1.383993650611777,0.0,0.0
12.458838787610933,12.701121487490571,1.6874252036196762,1.3747116535261128,0.0,0.0
12.43378399939604,12.682253595165077,1.6728349754171508,1.365460834477469,0.0,0.0
12.408705880668837,12.66337541797727,1.6583079609532678,1.3562411936429217,0.0,0.0
12.383604508229276,12.644486982698252,1.6438441608265217,1.3470527312007503,0.0,0.0
