time_sec,cost
0.0,515.3683173802324
0.1,506.80885809232086
0.2,498.32179372515554
0.30000000000000004,489.9072954435054
0.4,481.56553398524176
0.5,473.29667965855407
0.6000000000000001,465.10090233915963
0.7000000000000001,456.97837146750817
0.8,448.9292560459779
0.9,440.9537246360677
1.0,433.0519453555816
1.1,425.22408587580645
1.2000000000000002,417.4703134186845
1.3,409.79079475397674
1.4000000000000001,402.18569619642324
1.5,394.6551836028922
1.6,387.1994223695278
1.7000000000000002,379.8185774288854
1.8,372.51281324706395
1.9000000000000001,365.28229382083106
2.0,358.12718267473826
2.1,351.047642858232
2.2,344.0438369427562
2.3000000000000003,337.1159270188486
2.4000000000000004,330.2640746932286
2.5,323.48844108587906
2.6,316.7891868271188
2.7,310.1664720546704
2.8000000000000003,303.6204564107179
2.9000000000000004,297.1512990389591
3.0,290.75915858164814
3.1,284.4441931766319
3.2,278.20656045437863
3.3000000000000003,272.0464175349975
3.4000000000000004,265.9639210252518
3.5,259.9592270155629
3.6,254.03249107700705
3.7,248.18386825830396
3.8000000000000003,242.41351308279707
3.9000000000000004,236.72157954542513
4.0,231.1082211096866
4.1000000000000005,225.57359070459538
4.2,220.11784072162692
4.3,214.7411230116584
4.4,209.4435888818967
4.5,204.22538909280212
4.6000000000000005,199.08667385499925
4.7,194.05404690913417
4.800000000000001,189.132863130373
4.9,184.32112237141726
5.0,179.61684418347687
5.1000000000000005,175.01806871913558
5.2,170.52285730936075
5.300000000000001,166.1292930171666
5.4,161.83548116844125
5.5,157.6395498604879
5.6000000000000005,153.5396504488585
5.7,149.53395801307346
5.800000000000001,145.62067180183323
5.9,141.79801565832275
6.0,138.06423842619282
6.1000000000000005,134.41761433678838
6.2,130.85644337815253
6.300000000000001,127.3790516463008
6.4,123.9837916792084
6.5,120.66904277389924
6.6000000000000005,117.43321128696657
6.7,114.27473091878883
6.800000000000001,111.19206298163783
6.9,108.18369665180882
7.0,105.24814920583235
7.1000000000000005,102.38396624076174
7.2,99.58972187846236
7.300000000000001,96.86401895377458
7.4,94.20548918635843
7.5,91.6127933359838
7.6000000000000005,89.08462134098262
7.7,86.61969243954687
7.800000000000001,84.21675527352293
7.9,81.87458797433632
8.0,79.59199823066464
8.1,77.3678233374756
8.200000000000001,75.20093022604617
8.3,73.09582169149326
8.4,71.05143695400226
8.5,69.06629050302911
8.6,67.1389281348247
8.700000000000001,65.26792688156151
8.8,63.451895151834414
8.9,61.68947283183863
9.0,59.979331347831305
9.1,58.32017369055558
9.200000000000001,56.71073440237957
9.3,55.149779527970544
9.4,53.63610652939033
9.5,52.16854416655927
9.600000000000001,50.74595234408887
9.700000000000001,49.36722192553607
9.8,48.03127451617365
9.9,46.73706221541039
10.0,45.48356734002656
10.100000000000001,44.26980211941568
10.200000000000001,43.09480836404568
10.3,41.95765710836496
10.4,40.85744822939099
10.5,39.793310042221925
10.600000000000001,38.764398873714136
10.700000000000001,37.76989861556137
10.8,36.809020258007955
10.9,35.8810014054138
11.0,34.9851057748771
11.100000000000001,34.12062267910402
11.200000000000001,33.28686649469637
11.3,32.48317611700673
11.4,31.708914402690947
11.5,30.963467601063577
11.600000000000001,30.246244775338408
11.700000000000001,29.5566772148126
11.8,28.894217839027412
11.9,28.25834059491421
12.0,27.648539847908733
12.100000000000001,27.064329767992966
12.200000000000001,26.505243711597046
12.3,25.970833600271114
12.4,25.460669297011197
12.5,24.974337981099367
12.600000000000001,24.511443522295277
12.700000000000001,24.071605855191354
12.8,23.6544603545219
12.9,23.259657212192067
13.0,22.886860816770433
13.100000000000001,22.53574913616613
13.200000000000001,22.206013104188347
13.3,21.897356011663774
13.4,21.609492902765304
13.5,21.342149977181464
13.600000000000001,21.09506399873532
13.700000000000001,20.867981711037327
13.8,20.660659260734384
13.9,20.472861628894652
14.0,20.304362071044597
14.100000000000001,20.15494156635126
14.200000000000001,20.0243882764199
14.3,19.91249701415368
14.4,19.819068723098443
14.5,19.74390996767263
14.600000000000001,19.686832434657674
14.700000000000001,19.64765244630192
14.8,19.626190485366592
14.9,19.6222707324187
15.0,19.63572061565312
15.100000000000001,19.666370373501323
15.200000000000001,19.71405263026203
15.3,19.778601984965388
15.4,19.8598546136595
15.5,19.957647885285347
15.600000000000001,20.07181999128442
15.700000000000001,20.202209589059702
15.8,20.348655459391626
15.9,20.510996177886334
16.0,20.689069800515203
16.1,20.882713563283016
16.2,21.091763596041755
16.3,21.316054650449374
16.400000000000002,21.55541984205227
16.5,21.809690406452205
16.6,22.07869546950207
16.7,22.362261831455744
16.8,22.660213764981602
16.900000000000002,22.972372826934212
17.0,23.29855768376131
17.1,23.63858395041056
17.2,23.992264042584722
17.3,24.35940704218226
17.400000000000002,24.739818575745225
17.5,25.13330070572661
17.6,25.53965183437551
17.7,25.95866662002931
17.8,26.390135905590387
17.900000000000002,26.833846658956034
18.0,27.28958192516064
18.1,27.757120789980824
18.2,28.236238354746725
18.3,28.726705722094092
18.400000000000002,29.228289992386923
18.5,29.74075427053203
18.6,30.26385768290321
18.7,30.797355404085902
18.8,31.34099869315019
18.900000000000002,31.894534939154294
19.0,32.45770771557828
19.1,33.03025684338442
19.200000000000003,33.61191846239722
19.3,34.20242511069482
19.400000000000002,34.80150581170134
19.5,35.40888616866838
19.6,36.02428846623334
19.700000000000003,36.64743177874092
19.8,37.27803208501484
19.900000000000002,37.915802389267256
20.0,38.56045284783255
20.1,39.21169090141525
20.200000000000003,39.869221412541194
20.3,40.53274680790374
20.400000000000002,41.201967225298674
20.5,41.876580664844
20.6,42.55628314418172
