h1,h2,h3,h4,u1,u2,t_exec
12.599542160696085,12.999670525789549,4.79926176999602,4.899476045380625,0.0,0.0,0.0
12.599084286351525,12.999341034380034,4.798523596763342,4.898952118775106,0.0,0.0,0.0
12.598626376968376,12.999011525772156,4.797785480301966,4.898428220183442,0.0,0.0,0.0
12.599904403977268,12.999940424966617,4.799839220611892,4.8999178746056335,12.0,12.0,44825.234375
12.601182528275343,13.000869373320837,4.801892802971784,4.901407449377092,12.0,12.0,19227.53515625
12.60246058936461,13.001798089187984,4.803945602635093,4.902896758410235,11.99889087677002,11.997314453125,19241.5546875
12.603738779753025,13.002726929288404,4.805998411114344,4.90438602512011,11.999113082885742,11.998030662536621,19233.90625
12.605017090574888,13.00365587200246,4.8080511805181505,4.905875239279751,11.999274253845215,11.998540878295898,19237.091796875
12.606295512961257,13.004584895710684,4.810103862958784,4.907364390662731,11.999374389648438,11.998845100402832,19237.5625
12.607574042178832,13.005513989494917,4.81215643429251,4.908853473843783,11.999442100524902,11.999045372009277,19235.47265625
12.608852675562156,13.006443146937553,4.8142088803616785,4.910342485798227,11.999491691589355,11.999184608459473,19237.5390625
12.610131411272608,13.00737236422132,4.816261192778379,4.911831424461667,11.999528884887695,11.999287605285645,19241.16796875
12.611410248160855,13.008301638729096,4.818313365817786,4.913320288569908,11.999558448791504,11.99936580657959,19227.75
12.612689185491092,13.009230968643868,4.820365395530463,4.914809077338879,11.99958324432373,11.99942684173584,19238.498046875
12.613968222527278,13.010160352748715,4.8224172792984845,4.916297789984544,11.999603271484375,11.999476432800293,19227.19140625
12.615247358809157,13.01108979012675,4.824469015169711,4.91778642604294,11.99962043762207,11.999517440795898,19229.517578125
12.616526594014337,13.01201927996111,4.826520601414001,4.919274985210146,11.999635696411133,11.999550819396973,19235.21484375
12.617805927820338,13.012948821734987,4.8285720369669285,4.9207634671822476,11.999649047851562,11.999579429626465,19245.04296875
12.619085359904645,13.013878415031584,4.830623320985998,4.922251871655339,11.99966049194336,11.999604225158691,19227.94921875
12.620364890082682,13.014808059534124,4.832674452850619,4.923740198485546,11.99967098236084,11.999626159667969,19230.978515625
12.621644518307825,13.015737754825828,4.834725431718349,4.925228447689013,11.99968147277832,11.99964427947998,19223.494140625
12.622924244257495,13.016667500789973,4.836776257412398,4.926716618961835,11.999690055847168,11.999661445617676,19231.41796875
12.624204067885067,13.017597297109807,4.838826929312215,4.92820471232016,11.999698638916016,11.999675750732422,19222.75390625
12.625483989005936,13.018527143668619,4.840877447241015,4.929692727620104,11.999706268310547,11.999689102172852,19247.978515625
12.62676400743552,13.019457040349701,4.842927811021996,4.931180664717784,11.999712944030762,11.999701499938965,19223.576171875
12.628044123127228,13.02038698703635,4.844978020478341,4.93266852362934,11.999719619750977,11.999712944030762,19247.71875
12.629324336034484,13.021316983511863,4.847028075211347,4.9341563043709025,11.999726295471191,11.999722480773926,19231.91796875
12.63060464597275,13.022247029759574,4.849077975266057,4.935644006798571,11.99973201751709,11.99973201751709,19233.74609375
12.631885052895493,13.023177125662807,4.851127720465608,4.93713163092847,11.999737739562988,11.999740600585938,19238.90234375
12.633165556756193,13.024107271104898,4.853177310633124,4.938619176776714,11.999743461608887,11.999748229980469,19239.837890625
12.634446157370391,13.025037466069204,4.855226745813585,4.940106644199388,11.999748229980469,11.999755859375,19230.416015625
12.635726854691628,13.025967710439074,4.8572760258300685,4.941594033212599,11.99975299835205,11.999762535095215,19237.08984375
12.63700764867346,13.026898004197879,4.859325150727507,4.9430813438324455,11.999757766723633,11.99976921081543,19230.48828125
12.638288539269483,13.027828347228985,4.8613741203289305,4.944568576075017,11.999762535095215,11.999774932861328,19233.630859375
12.639569526295345,13.028758739515785,4.863422934679226,4.946055729796377,11.99976634979248,11.999780654907227,19228.615234375
12.640850609842659,13.029689181041672,4.86547159382325,4.9475428051726285,11.999771118164062,11.999786376953125,19240.40625
12.64213178972714,13.030619671690042,4.867520097583951,4.949029802059816,11.999774932861328,11.999791145324707,19227.0078125
12.643413065902493,13.031550211444308,4.86956844600614,4.950516720474007,11.999778747558594,11.999795913696289,19232.794921875
12.644694438322453,13.032480800287892,4.871616639134593,4.952003560431259,11.99978256225586,11.999800682067871,19226.6484375
12.645975906940793,13.033411438204222,4.873664677014054,4.953490321947623,11.999786376953125,11.999805450439453,19228.69921875
12.647257471573353,13.034342125076726,4.875712559467367,4.95497700487912,11.999789237976074,11.999809265136719,19227.380859375
12.648539132311925,13.035272860888846,4.877760286539229,4.956463609401814,11.99979305267334,11.999813079833984,19241.212890625
12.649820888972402,13.03620364562404,4.879807858274308,4.957950135371711,11.999795913696289,11.99981689453125,19226.74609375
12.651102741646643,13.037134479265767,4.88185527471724,4.959436582964857,11.999799728393555,11.999820709228516,19226.1171875
12.652384690150608,13.038065361797504,4.883902535912629,4.960922952037242,11.999802589416504,11.999824523925781,19229.6484375
12.653666734438264,13.038996293102716,4.885949641683176,4.962409242604876,11.999805450439453,11.99982738494873,19233.8515625
12.65494887446359,13.039927273164892,4.887996592073439,4.963895454683762,11.999808311462402,11.99983024597168,19230.025390625
12.656231110180602,13.040858302067539,4.890043387349818,4.965381588289894,11.999811172485352,11.999834060668945,19233.62109375
12.657513441543365,13.041789379694148,4.89209002733492,4.966867643439259,11.9998140335083,11.999836921691895,19228.98046875
12.658795868505962,13.042720506028234,4.894136512073207,4.968353620147834,11.99981689453125,11.999839782714844,19231.3046875
12.660078391022507,13.04365168105332,4.896182841609114,4.96983951843159,11.9998197555542,11.999842643737793,19231.0859375
